(0008, 0005)
(0008, 0012)
(0008, 0013)
(0008, 0016)
(0008, 0018)
(0008, 0020)
(0008, 0030)
(0008, 0050)
(0008, 0060)
(0008, 0070)
(0008, 0090)
(0008, 1010)
(0008, 1030)
(0008, 103e)
(0008, 1070)
(0008, 1090)
(0010, 0010)
(0010, 0020)
(0010, 0030)
(0010, 0032)
(0010, 0040)
(0010, 1000)
(0018, 1000)
(0018, 1020)
(0020, 000d)
(0020, 000e)
(0020, 0010)
(0020, 0011)
(0020, 0052)
(0020, 1040)
(300a, 0002)
(300a, 0006)
(300a, 0007)
(300a, 000a)
(300a, 000c)
(300a, 0010)
(300a, 0040)
(300a, 0070)
(300a, 00b0)
(300a, 0180)
(300c, 0060)
(300e, 0002)
(3253, 0010)
(3253, 1000)
(3253, 1001)
(3253, 1002)
(3287, 0010)
(3287, 1000)
